2020-05-30 05:34:40 startup archives unpack
2020-05-30 05:34:40 install sensible-utils:all <none> 0.0.12
2020-05-30 05:34:40 status half-installed sensible-utils:all 0.0.12
2020-05-30 05:34:40 status unpacked sensible-utils:all 0.0.12
2020-05-30 05:34:40 install bzip2:amd64 <none> 1.0.6-9.2~deb10u1
2020-05-30 05:34:40 status half-installed bzip2:amd64 1.0.6-9.2~deb10u1
2020-05-30 05:34:40 status unpacked bzip2:amd64 1.0.6-9.2~deb10u1
2020-05-30 05:34:40 install libmagic-mgc:amd64 <none> 1:5.35-4+deb10u1
2020-05-30 05:34:40 status half-installed libmagic-mgc:amd64 1:5.35-4+deb10u1
2020-05-30 05:34:40 status unpacked libmagic-mgc:amd64 1:5.35-4+deb10u1
2020-05-30 05:34:40 install libmagic1:amd64 <none> 1:5.35-4+deb10u1
2020-05-30 05:34:40 status triggers-pending libc-bin:amd64 2.28-10
2020-05-30 05:34:40 status half-installed libmagic1:amd64 1:5.35-4+deb10u1
2020-05-30 05:34:41 status unpacked libmagic1:amd64 1:5.35-4+deb10u1
2020-05-30 05:34:41 install file:amd64 <none> 1:5.35-4+deb10u1
2020-05-30 05:34:41 status half-installed file:amd64 1:5.35-4+deb10u1
2020-05-30 05:34:41 status unpacked file:amd64 1:5.35-4+deb10u1
2020-05-30 05:34:41 install mime-support:all <none> 3.62
2020-05-30 05:34:41 status half-installed mime-support:all 3.62
2020-05-30 05:34:41 status unpacked mime-support:all 3.62
2020-05-30 05:34:41 install ucf:all <none> 3.0038+nmu1
2020-05-30 05:34:41 status half-installed ucf:all 3.0038+nmu1
2020-05-30 05:34:41 status unpacked ucf:all 3.0038+nmu1
2020-05-30 05:34:41 install xz-utils:amd64 <none> 5.2.4-1
2020-05-30 05:34:41 status half-installed xz-utils:amd64 5.2.4-1
2020-05-30 05:34:41 status unpacked xz-utils:amd64 5.2.4-1
2020-05-30 05:34:41 install fonts-dejavu-core:all <none> 2.37-1
2020-05-30 05:34:41 status half-installed fonts-dejavu-core:all 2.37-1
2020-05-30 05:34:41 status unpacked fonts-dejavu-core:all 2.37-1
